locality,student_score,family_score,inventory_score,density_score,rent_score,overall_score
Cv Raman Nagar,70.03,12.0,12.0,50.0,94.9,19.6
Aga Abbas Ali Road,42.9,3.0,3.0,21.53,60.0,6.706
Doddathoguru,68.84899999999999,3.0,3.0,21.53,97.07,6.706
Hulimavu,66.231,3.0,3.0,21.53,93.33,6.706
Victoria Layout,60.13099999999999,6.0,6.0,21.53,83.33,9.106000000000002
Nayandahalli,68.58,6.0,6.0,34.13,95.4,11.626000000000001
Kasavanahalli,69.169,12.0,12.0,50.0,93.67,19.6
Hongasandra Bangalore,69.55999999999999,6.0,6.0,34.13,96.8,11.626000000000001
Hoodi,69.725,9.0,9.0,43.07,95.75,15.814
Dommasandra Village,68.66,3.0,3.0,21.53,96.8,6.706
Begur,67.729,3.0,3.0,21.53,95.47,6.706
Kumbalgodu,69.14,6.0,6.0,34.13,96.2,11.626000000000001
Kudlu Main Road,69.591,3.0,3.0,21.53,98.13,6.706
Bellandur,70.72099999999999,21.0,21.0,60.45,92.03,28.89
Lingarajapuram,66.231,3.0,3.0,21.53,93.33,6.706
Jogupalya,64.33099999999999,6.0,6.0,34.13,89.33,11.626000000000001
Padmanabhanagar,70.46999999999998,6.0,6.0,34.13,98.1,11.626000000000001
Basapura,66.42,3.0,3.0,21.53,93.6,6.706
Brookefield,71.53499999999998,12.0,12.0,43.07,97.05,18.214000000000002
Srinivasa Nagar,69.889,6.0,6.0,34.13,97.27,11.626000000000001
Richards Town,70.34,3.0,3.0,21.53,99.2,6.706
Mahadev Pura,68.78999999999999,6.0,6.0,34.13,95.7,11.626000000000001
T Dasarahalli,69.311,3.0,3.0,21.53,97.73,6.706
Shikaripalya,67.449,3.0,3.0,21.53,95.07,6.706
R T  Nagar,66.92899999999999,12.0,12.0,50.0,90.47,19.6
Parappana Agrahara,69.73499999999999,6.0,6.0,34.13,97.05,11.626000000000001
Jalahalli,66.98,3.0,3.0,21.53,94.4,6.706
Kodihalli,68.951,6.0,6.0,34.13,95.93,11.626000000000001
Koramangala,67.059,15.0,15.0,55.66,89.37,23.131999999999998
Hosakerehalli,67.169,3.0,3.0,21.53,94.67,6.706
Bilekahalli,69.64099999999999,9.0,9.0,43.07,95.63,15.814
Kengeri Satellite Town,71.209,9.0,9.0,43.07,97.87,15.814
Amarjyoti Layout,63.43099999999999,3.0,3.0,21.53,89.33,6.706
Horamavu,70.33099999999999,12.0,12.0,50.0,95.33,19.6
Jayanagar,66.669,6.0,6.0,34.13,92.67,11.626000000000001
Whitefield,72.36599999999999,21.0,21.0,64.6,94.38,29.72
Kengeri,68.94,3.0,3.0,21.53,97.2,6.706
Konanakunte,67.229,6.0,6.0,34.13,93.47,11.626000000000001
Sanjay Nagar,66.231,3.0,3.0,21.53,93.33,6.706
Balagere,67.35100000000001,3.0,3.0,21.53,94.93,6.706
Maruthi Sevanagar,68.1,3.0,3.0,21.53,96.0,6.706
B Narayanapura Road,67.169,3.0,3.0,21.53,94.67,6.706
Ms Ramaiah North City Manayata Tech Park,67.911,3.0,3.0,21.53,95.73,6.706
Vibhutipura,69.92,3.0,3.0,21.53,98.6,6.706
Chikkalasandra,69.371,6.0,6.0,34.13,96.53,11.626000000000001
Yeshwantpur,67.408,9.0,9.0,43.07,92.44,15.814
Singasandra,69.5,3.0,3.0,21.53,98.0,6.706
Kithaganur Colony,69.78,3.0,3.0,21.53,98.4,6.706
Carmelaram,67.13099999999999,6.0,6.0,34.13,93.33,11.626000000000001
Vasanth Nagar,58.111,3.0,3.0,21.53,81.73,6.706
